Name,Release Date,Retail Price,Sale Price,Size,Sale Date,52wk High|Low,12mo Trade Range,Volatility,# of Sales,Price Premium,Avg Resale Price
air-jordan-11-retro-playoffs-2019,12/14/2019,$220,$348,8.0,"Thursday, October 1, 2020",High $360 | Low $171,$336 - $360,3.3%,4500,58.2%,$290
air-jordan-11-retro-playoffs-2019,12/14/2019,$220,$359,8.5,"Friday, October 2, 2020",High $367 | Low $180,$351 - $377,3.6%,5004,65.6%,$294
air-jordan-11-retro-playoffs-2019,12/14/2019,$220,$364,9.0,"Thursday, October 1, 2020",High $382 | Low $190,$353 - $375,3.1%,6784,65.5%,$294
air-jordan-11-retro-playoffs-2019,12/14/2019,$220,$325,9.5,"Thursday, October 1, 2020",High $398 | Low $213,$303 - $347,6.8%,7143,47.7%,$295
air-jordan-11-retro-playoffs-2019,12/14/2019,$220,$345,10.0,"Friday, October 2, 2020",High $387 | Low $210,$331 - $359,4.0%,8147,56.8%,$295
air-jordan-11-retro-playoffs-2019,12/14/2019,$220,$390,10.5,"Thursday, October 1, 2020",High $412 | Low $40,$378 - $402,3.1%,7100,77.3%,$299
air-jordan-11-retro-playoffs-2019,12/14/2019,$220,$397,11.0,"Friday, October 2, 2020",High $409 | Low $196,$371 - $423,6.4%,7233,80.5%,$298
air-jordan-11-retro-playoffs-2019,12/14/2019,$220,$398,11.5,"Thursday, October 1, 2020",High $434 | Low $221,$382 - $414,4.0%,4072,80.9%,$300
air-jordan-11-retro-playoffs-2019,12/14/2019,$220,$395,12.0,"Thursday, October 1, 2020",High $411 | Low $230,$378 - $412,4.3%,6259,79.5%,$299
air-jordan-11-retro-playoffs-2019,12/14/2019,$220,$400,13.0,"Friday, October 2, 2020",High $487 | Low $228,$376 - $424,6.0%,4008,81.8%,$313
adidas-yeezy-boost-350-v2-semi-frozen-yellow,11/18/2017,$220,$550,6.0,"Tuesday, September 29, 2020",High $691 | Low $325,$486 - $614,11.6%,150,150.0%,$450
adidas-yeezy-boost-350-v2-semi-frozen-yellow,11/18/2017,$220,$480,6.5,"Friday, October 2, 2020",High $618 | Low $325,$462 - $498,3.8%,235,118.2%,$419
adidas-yeezy-boost-350-v2-semi-frozen-yellow,11/18/2017,$220,$500,7.0,"Wednesday, September 30, 2020",High $570 | Low $300,$451 - $549,9.7%,299,127.3%,$403
adidas-yeezy-boost-350-v2-semi-frozen-yellow,11/18/2017,$220,$441,7.5,"Thursday, October 1, 2020",High $480 | Low $270,$393 - $488,10.8%,551,100.1%,$353
adidas-yeezy-boost-350-v2-semi-frozen-yellow,11/18/2017,$220,$375,8.0,"Saturday, October 3, 2020",High $473 | Low $245,$351 - $399,6.3%,658,70.5%,$324
adidas-yeezy-boost-350-v2-semi-frozen-yellow,11/18/2017,$220,$350,8.5,"Friday, October 2, 2020",High $439 | Low $237,$347 - $353,0.8%,825,59.1%,$308
adidas-yeezy-boost-350-v2-semi-frozen-yellow,11/18/2017,$220,$348,9.0,"Saturday, October 3, 2020",High $439 | Low $221,$339 - $357,2.7%,1150,58.2%,$294
adidas-yeezy-boost-350-v2-semi-frozen-yellow,11/18/2017,$220,$343,9.5,"Saturday, October 3, 2020",High $485 | Low $240,$327 - $358,4.5%,957,55.5%,$309
adidas-yeezy-boost-350-v2-semi-frozen-yellow,11/18/2017,$220,$359,10.0,"Friday, October 2, 2020",High $485 | Low $230,$341 - $377,5.0%,919,63.2%,$312
